udp_arrival_to_queue_ns,queue_duration_ns,worker_processing_ns
791,2917,35625
84,2875,35625
84,3083,31625
83,917,33166
41,2167,39041
84,2708,36750
83,1709,133042
83,2833,33583
417,1500,58750
542,833,27833
167,958,35208
4791,1542,28958
84,1458,27958
667,1541,56083
23250,584,30833
83,1042,36083
83,3084,38583
84,5166,50250
41,3125,112708
83,1375,29417
84,1833,33250
42,2916,88334
125,3542,29041
42,1958,29083
125,1084,27166
84,1916,27500
1708,7500,35917
417,1625,27333
791,2584,32458
208,2500,37958
167,1000,95458
125,11958,35708
42,3541,41042
83,1084,84417
84,1333,138875
42,52000,49458
417,53166,32875
167,34791,40625
458,709,29166
375,2916,29542
583,1000,27083
83,583,28125
84,1083,56333
42,333,114917
167,7083,51917
166,19667,32958
83,5667,32541
459,12750,32416
167,1083,31583
83,584,28041
83,917,27292
41,834,27875
1375,5750,32250
125,13042,39167
750,72125,130459
625,50208,32958
125,24709,26208
167,48000,26083
583,79917,28792
250,86667,73542
167,104375,88791
209,125750,109209
167,104250,38083
500,116709,97417
417,108875,47000
459,2416,30584
42,1250,27958
125,542,31375
41,2792,33541
417,708,82333
500,834,29250
125,3708,28833
41,1000,27875
125,875,29000
83,875,28000
84,875,27708
42,916,27000
84,500,34917
500,1417,30291
41,2417,27791
83,3083,56875
875,9041,33458
125,2167,31000
167,1250,28792
125,333,29875
83,375,30708
83,459,29667
83,584,30917
83,209,29042
83,292,30041
84,416,50584
292,2333,28334
292,500,29916
84,708,29792
83,584,27875
84,250,28959
84,250,28459
83,417,29916
83,792,29291
83,375,77792
83,792,77792
83,14000,31417
1000,2958,29875
125,458,33833
291,917,29083
83,917,28042
42,500,32083
83,500,28750
83,250,30750
83,292,29583
83,667,28583
83,250,84500
83,625,56500
42,6375,28208
41,500,29000
83,708,29083
83,250,28500
250,1125,27125
42,2750,28083
292,1375,27791
83,334,66584
83,917,38708
41,2209,29959
83,417,27708
83,250,31625
83,2708,28667
83,250,27500
84,375,27791
84,916,28959
84,416,28958
292,958,27625
41,709,29208
83,500,28542
83,250,31500
83,208,29167
83,333,26959
83,292,26958
84,375,30042
41,292,28500
41,250,28458
83,292,29625
84,333,28542
41,459,69958
166,1417,27291
41,2125,30167
125,916,31959
84,416,30208
84,708,26833
