challenge_id,target_parsed_to_tcp_sent_ns
94,2494791
95,21331000
96,3078541
97,8101667
99,3296042
101,2782458
103,5372334
105,12163459
108,4062417
110,2313250
111,7635000
112,1869125
112,1918625
113,4724458
114,4694625
116,4655917
118,2448958
119,5578500
121,1439875
122,12459083
124,10837625
126,6957333
127,3962417
128,4391208
129,5003666
131,2773250
132,2698375
134,6328292
136,10823834
138,4970584
140,1977833
141,3242416
144,9934042
145,2643500
146,5806875
149,4529792
151,11396042
152,2918416
153,2894000
154,24085000
155,2573583
156,7234625
157,4543000
158,4514875
159,5998625
161,5086417
162,8673042
162,9014000
164,4287458
165,7329625
167,4926500
167,5075959
168,4140250
169,2949000
169,3019542
170,3146708
170,3231000
171,8507792
173,5869833
175,2642666
177,8888583
178,3032000
179,11039041
181,4513875
183,3357375
184,6777291
185,2381166
186,10611333
188,4901000
189,2592000
190,3694417
191,5278917
192,2194625
194,3716417
196,4689875
197,5523083
199,10197875
201,4676208
202,4397417
204,2516500
205,3494250
207,5066167
209,4779042
211,4013792
213,2522541
214,10295417
215,2441708
215,2470625
217,2622375
218,4274917
219,4504416
221,102958
223,3295250
225,5135042
226,4979667
228,2109208
229,5267500
231,2709208
232,2999292
234,3792167
235,5004750
235,5138459
237,4134208
237,4136833
239,3345000
241,3824709
243,2131209
244,10218708
245,2250917
247,4198917
248,4438292
248,4488083
250,48791
251,4305917
252,2416750
252,2488458
254,4141083
257,3478666
258,2346833
260,5654792
261,2197417
262,10731292
263,2915666
264,5180500
266,4175583
267,6099250
269,17869250
270,2130333
272,5744875
273,5640291
275,9701167
276,5941958
277,4483834
278,7150334
279,4665291
280,6698000
282,6060417
285,5140292
285,5158917
286,5676250
288,5027625
289,3721333
290,4283083
290,4360291
292,5138750
293,2376958
294,9270708
294,9328416
295,2804125
296,6085750
298,4695500
299,3690292
300,2741833
302,4725167
303,2408958
304,10031083
305,3319708
307,4335209
307,4365459
309,3079916
310,2625792
310,2639542
311,4130042
312,2725292
313,3479709
314,4971625
316,12243208
317,5506333
318,4849209
319,2345833
321,4554459
323,4236833
325,5241709
