challenge_id,target_parsed_to_tcp_sent_ns
1011,4707833
1011,4797000
1011,3856375
1013,4412500
1014,94042
1014,145959
1013,1925750
1015,2660458
1014,2265334
1015,5204083
1017,2452125
1017,2495667
1018,1561083
1017,974125
1019,3889208
1019,1811125
1019,1897041
1020,4635917
1020,4707167
1021,1400834
1020,471333
1021,449291
1021,450666
1022,1794666
1023,126958
1022,1784667
1024,3225750
1024,3257250
1023,2500458
1023,2522708
1025,2475166
1025,812166
1027,2560417
1028,504708
1026,2045750
1028,3781917
1029,3283167
1030,2453042
1029,803333
1031,1748250
1032,556875
1031,1720167
1033,2481917
1032,3773958
1033,2785625
1035,2815417
1034,1198166
1035,1311333
1037,4466542
1037,1750209
1038,2552917
1039,3079334
1038,564000
1041,3099709
1041,3324750
1043,3295917
1044,2451750
1045,2746625
1045,496667
1047,2613375
1046,3122291
1047,2155792
1048,23209
1050,3037041
1050,3151166
1049,1352625
1051,1522750
1052,4090542
1051,1133250
1052,2844500
1055,1647666
1054,1531417
1055,982958
1056,421917
1058,2416791
1059,2593500
1059,2610084
1059,3055167
1060,3259792
1061,2489333
1061,1201375
1063,1794458
1063,1829375
1063,1855792
1064,1975833
1063,1781875
1065,1151125
1064,1924541
1066,2429542
1067,394167
1066,1386584
1068,41958
1070,1240208
1069,1868417
1069,1895250
1071,2365875
1072,2735041
1071,1124250
1073,665875
1072,2860000
1074,2245375
1074,2309959
1075,3906667
1075,629709
1076,44000
1077,4575375
1076,61125
1078,778625
1080,2341292
1081,2350000
1081,2359708
1082,3680500
1081,408209
1083,1018875
1082,1221583
1084,2288125
1083,2166750
1084,3791375
1085,2351167
1086,4259750
1085,157917
1088,365375
1087,1825791
1088,2542625
1089,2592917
1091,991833
1089,1521334
1090,2519375
1091,2208834
1092,4375375
1094,2482792
1094,29083
1095,1395375
1097,2882208
1098,2641917
1099,461875
1097,1750167
1098,2846375
1100,2450417
1101,2745042
1100,796125
1101,490791
1102,1849250
1104,2660333
1104,1399292
1107,2758958
1107,2072417
1108,2524292
1108,1079709
1110,657834
1109,1538209
1112,844584
1110,180917
1113,2750042
1111,89375
1112,164458
1114,1454250
1114,1475292
1115,2690708
1115,1375208
1116,1698833
1118,882791
1117,1647958
1118,2956625
1119,2722709
1120,4459250
1119,320667
1120,2186708
1120,2249541
1121,606083
1123,943584
1123,944917
1123,1069500
1124,5948500
1124,69791
1125,2203416
1125,3579083
1125,3593291
1126,2271083
1127,2269958
1128,2630084
1128,2676459
1128,2684042
1127,803625
1129,1809250
1130,2893542
1130,2919625
1130,2934375
1129,956709
1131,1297167
1131,1356792
1132,185166
1131,2168625
1132,1519542
1133,47917
1136,2374417
1135,1454625
1137,1349333
1139,16375
1138,355666
1138,394583
1140,2581000
1141,5048750
1141,335875
1141,337042
1142,4534750
1142,4553250
1143,4069084
1143,48500
1145,2599417
1144,5066834
1147,2771875
1148,2406500
1148,2431834
1149,807084
1148,1306750
1150,2688333
1150,2690416
1151,869792
1150,2485500
1151,805375
1151,852750
1152,2589833
1154,2533250
1154,1311375
1155,1848375
1156,1836000
1156,1843750
1157,2633459
1159,2709042
1160,755375
1159,1860167
1161,3226125
1160,1629291
1161,5271667
1163,2774958
1162,787708
1163,2407709
